,Microsoft Corp,Nike Inc,Procter & Gamble Co,Salesforce Inc,Travelers Companies Inc,Unitedhealth Group Inc,Verizon Communications Inc,Visa Inc,3M Co,Amazon.com Inc,American Express Co,Amgen Inc,Apple Inc,Boeing Co,Caterpillar Inc,Chevron Corp,Cisco Systems Inc,Coca-Cola Co,Dow Inc,Goldman Sachs Group Inc,Home Depot Inc,Honeywell International Inc,Intel Corp,International Business Machines Corp,Johnson & Johnson,JPMorgan Chase & Co,McDonald's Corp,Merck & Co Inc
,MSFT,NKE,PG,CRM,TRV,UNH,VZ,DIS,MMM,AMZN,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK
06/26/2022,-3.03%,-10.39%,1.22%,-9.53%,2.68%,4.39%,1.33%,-3.08%,-4.35%,-5.92%,-3.93%,0.07%,-1.93%,-1.19%,-3.88%,1.20%,-3.40%,2.13%,-2.73%,-1.16%,-1.39%,-2.73%,-5.88%,-0.66%,-1.52%,-2.79%,2.04%,-0.76%
06/19/2022,8.10%,5.19%,9.06%,13.88%,2.99%,9.64%,3.94%,8.16%,3.46%,9.64%,1.37%,4.54%,7.68%,3.46%,-3.71%,-2.43%,1.64%,6.07%,-2.98%,8.21%,4.53%,0.18%,4.44%,5.21%,7.57%,3.80%,5.77%,10.06%
06/12/2022,-2.11%,-6.44%,-6.76%,-8.51%,-4.38%,-6.72%,-3.52%,-4.76%,-5.67%,-3.13%,-6.63%,-2.20%,-4.06%,7.72%,-10.47%,-15.40%,-0.23%,-3.22%,-11.48%,-2.52%,-6.40%,-3.53%,-5.64%,-0.86%,-1.79%,-5.45%,-1.26%,-2.94%
06/05/2022,-6.31%,-5.14%,-2.70%,-3.49%,-2.81%,-0.20%,0.02%,-6.18%,-5.70%,-10.38%,-7.44%,-3.40%,-5.67%,-8.80%,-3.46%,-1.24%,-3.89%,-2.48%,-7.70%,-9.93%,-5.19%,-4.38%,-9.70%,-3.53%,-2.19%,-8.15%,-4.42%,-3.04%
05/29/2022,-1.18%,4.28%,-1.90%,12.00%,-2.05%,-4.24%,-1.15%,-0.11%,-2.37%,6.26%,-1.63%,-2.67%,-2.85%,5.31%,2.65%,-0.38%,-0.81%,-2.64%,-2.94%,-3.01%,-1.10%,-0.78%,-2.60%,1.37%,-2.58%,-0.85%,-1.39%,-3.41%
05/22/2022,8.19%,7.40%,4.89%,3.41%,5.70%,4.40%,3.78%,6.96%,3.95%,7.02%,10.68%,3.14%,8.76%,9.55%,9.77%,6.23%,6.24%,6.07%,1.39%,7.10%,7.41%,3.48%,6.96%,8.40%,2.32%,11.87%,7.68%,-0.50%
05/15/2022,-3.28%,-4.43%,-7.70%,-4.35%,-2.63%,0.07%,2.80%,-0.10%,-3.66%,-4.83%,-3.47%,1.68%,-6.47%,-5.11%,-3.19%,-0.03%,-13.36%,-7.21%,0.81%,-0.06%,-2.99%,-1.95%,-4.47%,-3.83%,0.07%,-1.47%,-4.54%,3.47%
05/08/2022,-4.95%,-1.29%,-1.53%,-1.64%,0.66%,-2.85%,-0.19%,-1.77%,-0.15%,-1.50%,-5.03%,2.92%,-6.47%,-14.57%,-4.81%,-1.65%,0.47%,1.51%,-0.54%,-1.91%,0.58%,-0.97%,-1.58%,-2.96%,0.27%,-3.74%,-2.29%,2.29%
05/01/2022,-1.01%,-8.19%,-2.83%,-3.55%,0.34%,-1.76%,4.25%,-4.84%,3.68%,-7.65%,-4.33%,1.42%,-0.23%,0.04%,1.95%,8.95%,0.71%,0.20%,2.15%,2.45%,-2.03%,0.99%,1.63%,4.13%,-2.27%,3.65%,0.65%,-0.34%
04/24/2022,1.27%,-3.39%,-0.43%,2.63%,-1.18%,-2.38%,-10.81%,2.38%,-3.32%,-13.90%,-3.23%,-6.85%,-2.56%,-15.87%,-2.66%,-2.66%,-4.63%,-0.98%,-2.92%,-4.47%,0.10%,1.51%,-6.34%,-4.37%,-0.59%,-5.87%,-0.40%,4.85%
04/17/2022,-2.07%,-3.29%,1.69%,-9.49%,-6.04%,-2.60%,-3.57%,-2.17%,1.21%,-4.85%,-0.34%,-1.44%,-2.12%,-2.76%,-5.05%,-6.20%,0.37%,0.35%,4.60%,-0.58%,-1.45%,-2.34%,1.90%,9.24%,0.91%,0.55%,-0.14%,-2.67%
04/10/2022,-5.77%,4.14%,-0.96%,-3.94%,-0.34%,-2.04%,0.56%,-1.93%,-1.62%,-1.78%,-1.38%,0.79%,-2.82%,3.85%,4.97%,0.98%,-5.73%,1.86%,6.18%,0.08%,-2.12%,2.65%,-2.87%,-0.92%,-1.22%,-5.52%,-0.38%,-0.88%
04/03/2022,-4.02%,-4.02%,3.23%,-7.10%,-0.21%,6.51%,2.71%,-4.14%,0.08%,-5.56%,-1.85%,3.66%,-2.42%,-8.16%,-1.25%,3.48%,-2.48%,1.53%,-3.90%,-2.67%,3.05%,-2.99%,-2.27%,-1.86%,2.21%,-1.35%,0.89%,4.98%
